Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
República Checa,16516055,15442596,12130553,21031142,37002976,41434794.3,58832501.09,61478375.09,71752151.34,68108676.7,133043344.5,156354873.53,148915677.57,158570458.38,158490363.48,151848157.92,154914529.8,173843789.86,184343049.2,126278089.11,104730900.6,168608496.93,181277736.34
Nueva Zelanda,14569311,17596177,6326241,6264722,10956479,12732079.73,10599686.65,13500687.38,14836595.5,12984866.04,12343629.26,14529435.59,20026141.17,15024905.19,20296253.2,20343490.28,20735997.63,16040770.21,14994886.88,12066625.98,15139368.95,22939256.49,22424096.98
Grecia,14275826,8596958,3767748,5633547,10805506,9859060.99,6769398.84,7256820.37,7730569.51,3957515.17,4257727.6,14812036.02,13184609.87,11917106.06,45943078.09,11494778.34,6539812.4,20137983.75,9012391.83,6504417.33,9016352.77,18383111.96,26766372.86
Ucrania,13141008,9350028,5773057,6422049,16360783,23841771.4,23815930.81,100265573.92,81673879.93,18144884.89,55973929.1,31370809.82,18374121.98,17107592.72,10322544.66,25975823.84,8416740.53,16279060.46,23812285.83,18331580.46,15402195.1,18664215.83,16226440.53
Eslovaquia,12963966,19240125,3003253,7887717,11516085,11166589.9,17524603.74,24904277.72,49545428.29,40138045.26,64124121.3,74377638.32,57137263.94,70485946.0,50035594.65,44061759.4,73431824.34,67875775.51,60371509.92,40270463.73,40199171.04,59503838.59,64307579.4
Lituania,12192264,105952,6215023,20990,81429,3637199.74,2928490.46,13160160.29,31682531.18,985763.05,20527551.45,8949000.15,44805715.93,15353406.89,19144447.04,7823195.46,8263867.68,15386064.3,48929626.16,4427085.4,13038358.14,61043298.3,16498458.54
República del Congo,10884487,3848,4296136,2864147,1777517,56375.57,113382.4,45226.27,52204.72,169266.06,525396.81,114330.23,67752.02,32041.03,67923.05,62721.58,22346.25,4144.78,41246.72,29696.01,5146.12,51397499.13,26519589.94
Vietnam,10348465,8820371,2359461,5682716,10706090,20817956.09,41916254.02,48250168.47,89861626.75,72889721.04,104216784.32,178249383.55,149035102.06,191309962.78,189150536.23,322829750.9,340049239.68,602251120.47,614673441.76,641545242.88,737846672.62,1138366964.25,1184978978.02
Egipto,9028400,6378264,1495671,5351831,13200584,3554960.17,12315151.71,30079090.69,113186673.2,48614119.49,28481951.59,69078201.88,47517350.88,112272125.42,9160537.21,6112282.29,7702116.17,32121841.8,77453912.55,115987479.5,184687091.07,509383922.04,397934466.85
Rumania,7294142,13649668,5185661,8734136,20621438,25400743.46,22872878.02,37620533.65,42668321.29,17170549.78,21670992.09,39052757.99,54986008.75,55084268.29,69390430.0,64510563.18,76944208.47,74281294.09,108736758.62,82060797.14,54091574.18,87464527.24,108440235.79
Kazajistán,6896077,1370176,1491336,1540237,13331480,20072480.89,15941982.84,10387890.81,14052972.17,22238614.06,16140145.64,9948839.2,388007.87,4357040.57,15487268.07,5312308.37,2259613.57,1977314.15,2804250.43,782273.71,9918814.27,19750924.72,30771176.64
Luxemburgo,6690829,6040158,3801003,3900396,7413059,8844688.87,10384843.96,7119239.82,9363872.02,7495714.11,4414550.23,12769960.78,12007965.84,8884756.27,12104031.17,9640626.99,7357855.37,11951934.55,11688218.02,8589420.63,7467492.62,12191703.32,11702453.64
Sri Lanka,6386256,3699098,2031839,2640004,4721314,5190180.66,5960531.41,6770096.75,9256584.93,5678465.08,7371875.18,9909842.82,8570429.55,6043455.1,6763638.82,7220947.94,10733433.99,12043350.91,11423687.04,9421352.88,8925818.69,14528671.47,13368590.07
Trinidad y Tobago,6221721,142317,2854895,72029,3199280,107.5,7350.55,13754551.3,259276587.58,220549451.31,481603378.18,1224823382.57,1832163887.0,1790944284.66,1773118259.16,914339512.77,266890180.1,151047211.55,144099125.98,147720385.12,64063107.38,35100100.06,104142480.22
Eslovenia,4778331,5288956,2163117,3692396,3904399,5242095.51,5946893.81,10406519.34,10642450.64,8006550.78,10242073.84,15598003.27,16598935.28,21614650.88,23983243.57,15653608.78,19127327.64,24283224.45,20940654.03,14530478.06,17438598.29,17878278.17,25869480.45
Costa Rica,4166931,5778930,2088733,5625168,16533256,21655618.94,20814498.65,20090846.11,16285831.24,28487374.97,33641911.5,46755970.57,50216431.95,51899685.75,43018613.52,26592128.77,14063795.09,16948262.31,13779784.61,13472575.38,15675906.21,16986310.21,21264790.93
Bulgaria,3883822,3183954,1358535,3238622,4053058,7666933.04,10003199.11,25412685.18,31642403.53,5646077.74,9943620.76,38718508.93,9064639.18,16198813.25,9916922.36,11120988.34,14666307.05,38090118.85,17111744.02,15343433.53,12835825.25,33230651.01,31715493.29
Marruecos,3667929,5948108,10330080,2864914,4469103,17361076.74,56911609.98,47583353.43,75134953.7,51785008.99,92526655.63,132511234.16,104292806.2,41957020.0,45978827.76,31558173.48,99120260.66,123253099.14,162680513.18,184838841.42,223460998.82,302109286.75,506498575.23
Cuba,3207386,3010111,1082842,1095304,1439884,1662715.81,2296472.78,2780258.15,2401185.08,3510746.14,11656865.07,8569570.83,10537575.36,11091015.25,16846384.6,21753255.86,13865748.09,5835651.07,5336980.86,3637526.87,4390923.72,5207223.18,4801366.72
Bangladesh,3086350,2351032,968792,437173,991631,1536441.04,2297088.64,3260869.7,5605468.59,6043160.77,6339756.13,11318654.08,8394655.43,8911062.36,8341036.62,10172081.62,12755596.64,16841103.74,42658274.5,27708245.37,16456172.31,12943617.03,20447788.44
Myanmar,3041990,1791404,863602,1093780,4279186,6995324.26,9375650.19,9169339.53,11335617.71,7357334.94,7176761.14,10293808.33,7158268.67,7837474.25,5756789.58,7262916.09,10534138.66,6069375.64,7199367.17,4761459.22,3476079.51,2383352.97,4531623.63
Macao,2988239,2808596,337611,74789,22002,73027.79,256574.37,705853.32,779576.17,381517.07,52559.22,209673.18,110060.36,133793.71,338557.3,320014.42,516573.94,229367.01,264302.25,303876.18,709271.92,1604602.92,581948.49
Emiratos Arabes Unidos,2531229,28002673,2259543,2193453,2630817,880841.63,451689.69,17160022.82,4708709.9,2669251.69,13325270.86,41720393.28,28018675.76,47895064.03,27197522.54,36998667.61,66149978.88,45130206.41,129438359.28,175652939.57,84693219.87,321724837.7,818702722.67
Panamá,1482450,958720,472397,317113,337626,340588.84,352205.7,832919.8,1556922.57,109277.99,560428.43,1710871.18,203140.22,259196.23,646675.85,170681.23,1782886.38,177822.94,229204.05,194273.11,122337.35,805298.55,777940.46
Mónaco,1259255,880942,347108,681495,947769,1018673.18,1240896.8,1688868.36,1357338.22,857982.72,863015.71,1432053.01,1182498.52,1239533.58,1335058.18,1245796.31,449156.57,385002.86,353757.62,335943.89,354944.01,356088.82,450740.73
República Dominicana,1200592,862698,405814,475204,849514,1117250.2,2333162.52,4051399.51,3165291.35,2143283.73,2600286.05,3078240.46,3606481.5,2614605.18,3178565.73,3015709.38,3203262.87,3670633.94,4449006.04,3019656.56,3259111.03,4745787.81,5050342.56
Croacia,1109547,2142753,812667,1045780,338697,2820661.12,1090671.99,1031682.84,1437411.85,539487.36,1008897.82,5828147.84,2343959.42,3285487.31,2888307.01,3235475.36,3576035.43,3550021.27,22630488.17,24662216.69,2461911.93,3105941.3,16948837.61
Malawi,1079038,1415149,1063134,1284838,1121087,2315640.09,2001952.05,1706830.0,931054.83,3979285.55,1234785.69,2691278.16,5968818.99,4308567.27,3714947.44,668182.4,663309.85,58077.1,4892.84,51875.82,66570.69,73712.46,392019.41
Guatemala,991294,1215350,292476,124106,189417,430621.1,1204384.26,2378117.84,5088703.85,2573496.84,4686942.72,12570113.15,3780149.58,3742495.33,3702046.61,2756305.0,2856630.9,2210254.91,1625983.86,955718.57,1742192.56,3185424.23,3325357.66
San Marino,723612,719990,684113,207188,19722,23607.99,170777.03,251353.07,584160.75,308731.69,112575.97,509079.48,217931.32,255456.29,375645.27,201521.42,254719.44,551980.93,519779.75,354287.54,347821.71,422665.82,372342.41
Madagascar,610104,202085,48729,178256,109860,195359.91,110740.05,623749.07,270067.06,869756.01,424535.09,418223.53,501293.33,693521.47,513493.09,624092.76,1055545.89,853095.6,1214539.05,1023074.16,1400484.02,1544804.38,1569266.44
Mauricio,586272,79833,13101,14865,41361,384059.3,77639.33,108459.04,137571.99,143762.46,203429.87,190633.91,122160.02,179126.21,263786.62,293080.55,269433.31,565602.58,814843.1,336736.61,175240.41,228663.94,338240.56
Bahamas,567828,812507,429120,520320,1056979,2120176.0,2322285.49,32625970.22,3827621.72,2785920.0,4141620.89,4889880.84,5155403.98,22745398.71,3617168.19,2755695.52,2844019.7,4587803.76,3465999.6,2657280.43,243.76,1919.21,9532.99
Namibia,510141,366426,109723,28482,1639,22395.18,713.01,5562.29,2179.06,2086.06,1099.26,19851.58,12122.25,7687927.42,5690975.99,6716.93,57215.2,13.61,1209.75,1340.68,24902.76,6151.7,9274.61
Kenia,487376,411926,201950,138523,167957,233614.08,261226.39,384767.23,467028.4,336633.65,234474.75,449675.91,81671.44,294114.61,48717.53,100106.69,152555.67,134068.94,204502.89,366309.93,366647.46,520706.95,668665.78
Honduras,476804,101998,630,36112,71179,81646.28,78598.81,213084.53,285454.37,105037.37,103870.89,1617028.87,263467.84,8276610.37,12193353.99,13969242.99,12164750.86,10585002.79,5716732.93,1904050.78,651684.18,1334389.99,1227780.73
Malta,466029,783636,393044,654869,764611,894477.75,1945308.47,2613003.75,2347951.2,1420821.72,7452112.11,7009160.17,7138240.52,4276658.42,2583880.44,2118995.27,2546711.15,1809758.27,1558383.14,1299156.04,788894.6,1174297.92,1368539.05
Bosnia y Herzegovina,287720,242371,162315,295894,595458,378442.97,227452.25,165099.03,105839.53,896174.62,696622.88,245919.3,957155.23,1489375.94,640261.61,466093.06,752540.59,686790.28,1817730.46,7637343.34,2692259.05,2413458.05,2979218.03
Estonia,275342,144085,31776,53986,703731,1470627.96,1274843.46,1502940.78,984608.25,936835.0,2485840.98,5167134.76,2955914.17,3759636.63,13044538.15,66079641.35,28303854.71,8899886.22,31018732.25,8546383.81,5929212.37,7535040.81,23731021.04
Camboya,205037,197736,70546,44198,301737,276735.76,1476167.16,2426664.34,5088216.47,5793253.25,6217593.6,13822539.24,11883282.18,14906179.57,7197857.22,12915687.23,14447335.79,15755391.84,21902639.57,19695575.6,20562321.63,12755824.95,20238395.47
Liechtenstein,190521,138749,133698,178797,500388,598556.29,791185.51,1089878.1,1257506.69,1040354.79,1473285.46,1816283.69,1045966.42,1020168.26,1405102.69,1299733.18,1321547.21,1435942.11,1102566.87,611323.21,462766.53,462272.66,1284544.18
Bielorrusia,175083,15875,101905,3365651,1991929,3200249.98,6720832.01,17118521.14,28994990.14,5315367.84,24420055.18,50924286.77,65382241.93,7106745.85,9649205.88,8086465.2,6160541.02,10675810.97,28776087.92,10306378.03,5614850.9,5038828.17,1040076.32
Islandia,152827,227539,1128201,188091,305589,168601.24,257116.56,311183.8,1601916.73,370153.52,1387564.51,1400949.7,494947.53,463391.35,3109964.55,1160674.07,1120479.56,944213.41,3279162.45,736729.18,983971.85,2381580.49,1029051.85
Líbano,139677,136997,468,80672,149670,113167.47,189480.7,283007.85,402363.49,1719844.95,633566.98,721091.05,512669.72,2400370.98,394423.58,164530.45,4089997.2,276192.68,566779.09,199867.26,222110.67,494338.29,199234.06
Chipre,135660,87917,129011,94213,45367,156136.3,51215.02,8805.18,9494.68,43337.61,39535.14,318238.21,274504.64,101470.58,87907.1,61789.68,167869.93,141191.72,555443.32,1198922.19,1216171.4,1308140.53,1238280.69
El Salvador,83620,247121,50538,50756,39018,76919.02,41921.58,120393.54,342698.71,223716.74,268137.18,527250.49,292029.58,570885.48,429202.58,579012.87,531958.36,536312.17,2008984.75,256714.41,1379813.09,638512.98,1347494.03
Andorra,82191,83955,15335,16543,7667,2779.86,50495.27,61708.9,100526.95,67940.46,6.16,51267.0,29061.4,98367.86,193412.02,251361.54,237870.96,28528.55,7457.73,2761.58,378.53,5028.72,8797.1
Jamaica,50491,623993,15205,3599,26524,8849.45,3799.9,5352.95,11643.1,12812.29,8637.35,16494.17,9207.84,6834.29,2565.42,4360.38,20637.8,112549.34,817223.08,7830786.45,4544836.97,25153.83,28969802.43
Haití,21589,16766,11454,15700,43114,25123.98,17601.98,28868.6,24193.19,48372.15,76434.06,69317.14,52151.58,96750.81,74980.25,81541.45,79568.39,147606.74,288482.2,238150.38,143480.48,121948.93,140995.07
Ghana,20215,12292,70525,995119,28244407,15268458.22,557396.48,4.0,397198.69,207077.25,115065.09,453803.7,17411.49,74920.08,93701.95,639.63,314.94,117529.94,199914.28,612514.75,809491.92,2089926.99,2191756.87
Comoras,18184,411,1853,2149,26854,6573.19,41896.04,4846.74,8118.29,12924.72,6069.83,15775.62,29250.03,25100.62,28927.41,16174.04,22300.02,71029.27,28256.1,22569.26,31346.19,27762.0,21505.51
Nicaragua,1530,13173,1541,68014,17687,25928.85,16920.46,25684.55,38331.26,19805.23,165816.4,252268.64,191383.85,383244.21,383317.71,228985.34,385553.02,315631.43,557684.6,521653.67,540710.69,370803.38,494179.81
Senegal,1419,480,2511,3314,2171,1916272.59,3391.01,1056.89,5912680.19,2170.01,4768.2,48571.39,153218.24,96160.47,93952.41,1430.81,85197.15,9648430.17,8396440.97,8151.76,3785.57,1418.47,582.05
